filename,product_code,camera,observation_time_utc,archive_start_time_utc,product_size_bytes,altitude_km,product_type,end_time
ch2_tmc_ncf_20191201T0706462483_d_img_d18.zip,NCF,FORE,2019-12-01 07:06:46.248300+00:00,2019-12-01 07:06:46.248000+00:00,1412880000,94.68,IMG,2019-12-01 07:16:17.759000+00:00
ch2_tmc_nca_20191201T0904339009_d_img_d18.zip,NCA,AFT,2019-12-01 09:04:33.900900+00:00,2019-12-01 09:04:33.900000+00:00,1412576000,94.87,IMG,2019-12-01 09:14:05.288000+00:00
ch2_tmc_ncf_20191201T0904339009_d_img_d18.zip,NCF,FORE,2019-12-01 09:04:33.900900+00:00,2019-12-01 09:04:33.900000+00:00,1412576000,94.87,IMG,2019-12-01 09:14:05.288000+00:00
ch2_tmc_ncn_20191201T0904339041_d_img_d18.zip,NCN,NADIR,2019-12-01 09:04:33.904100+00:00,2019-12-01 09:04:33.904000+00:00,1412560000,94.87,IMG,2019-12-01 09:14:05.285000+00:00
ch2_tmc_ncn_20191201T1102192527_d_img_d18.zip,NCN,NADIR,2019-12-01 11:02:19.252700+00:00,2019-12-01 11:02:19.252000+00:00,1412880000,94.98,IMG,2019-12-01 11:11:50.766000+00:00
ch2_tmc_ncf_20191201T1102192527_d_img_d18.zip,NCF,FORE,2019-12-01 11:02:19.252700+00:00,2019-12-01 11:02:19.252000+00:00,1412888000,94.98,IMG,2019-12-01 11:11:50.763000+00:00
ch2_tmc_nca_20191201T1102192560_d_img_d18.zip,NCA,AFT,2019-12-01 11:02:19.256000+00:00,2019-12-01 11:02:19.256000+00:00,1412880000,94.98,IMG,2019-12-01 11:11:50.766000+00:00
ch2_tmc_nca_20191202T0639511671_d_img_d18.zip,NCA,AFT,2019-12-02 06:39:51.167100+00:00,2019-12-02 06:39:51.167000+00:00,1423024000,94.52,IMG,2019-12-02 06:49:26.781000+00:00
ch2_tmc_ncf_20191202T0639511671_d_img_d18.zip,NCF,FORE,2019-12-02 06:39:51.167100+00:00,2019-12-02 06:39:51.167000+00:00,1423016000,94.52,IMG,2019-12-02 06:49:26.777000+00:00
ch2_tmc_ncn_20191202T0639511671_d_img_d18.zip,NCN,NADIR,2019-12-02 06:39:51.167100+00:00,2019-12-02 06:39:51.167000+00:00,1423024000,94.52,IMG,2019-12-02 06:49:26.781000+00:00
ch2_tmc_nca_20191203T1406528783_d_img_d18.zip,NCA,AFT,2019-12-03 14:06:52.878300+00:00,2019-12-03 14:06:52.878000+00:00,1455928000,104.75,IMG,2019-12-03 14:16:41.801000+00:00
ch2_tmc_ncn_20191203T1406528783_d_img_d18.zip,NCN,NADIR,2019-12-03 14:06:52.878300+00:00,2019-12-03 14:06:52.878000+00:00,1455928000,104.75,IMG,2019-12-03 14:16:41.801000+00:00
ch2_tmc_ncf_20191203T1406528814_d_img_d18.zip,NCF,FORE,2019-12-03 14:06:52.881400+00:00,2019-12-03 14:06:52.881000+00:00,1455912000,104.75,IMG,2019-12-03 14:16:41.798000+00:00
ch2_tmc_nca_20191207T1040107224_d_img_d18.zip,NCA,AFT,2019-12-07 10:40:10.722400+00:00,2019-12-07 10:40:10.722000+00:00,1425544000,90.56,IMG,2019-12-07 10:49:47.356000+00:00
ch2_tmc_ncf_20191207T1040107224_d_img_d18.zip,NCF,FORE,2019-12-07 10:40:10.722400+00:00,2019-12-07 10:40:10.722000+00:00,1425544000,90.56,IMG,2019-12-07 10:49:47.356000+00:00
ch2_tmc_ncn_20191207T1040107224_d_img_d18.zip,NCN,NADIR,2019-12-07 10:40:10.722400+00:00,2019-12-07 10:40:10.722000+00:00,1425536000,90.56,IMG,2019-12-07 10:49:47.352000+00:00
ch2_tmc_nca_20191213T1738373173_d_img_d18.zip,NCA,AFT,2019-12-13 17:38:37.317300+00:00,2019-12-13 17:38:37.317000+00:00,1412576000,85.32,IMG,2019-12-13 17:48:08.391000+00:00
ch2_tmc_ncn_20191213T1738373173_d_img_d18.zip,NCN,NADIR,2019-12-13 17:38:37.317300+00:00,2019-12-13 17:38:37.317000+00:00,1412568000,85.32,IMG,2019-12-13 17:48:08.388000+00:00
ch2_tmc_ncf_20191213T1738376423_d_img_d18.zip,NCF,FORE,2019-12-13 17:38:37.642300+00:00,2019-12-13 17:38:37.642000+00:00,1412568000,85.32,IMG,2019-12-13 17:48:08.391000+00:00
ch2_tmc_nca_20191213T2133547819_d_img_d18.zip,NCA,AFT,2019-12-13 21:33:54.781900+00:00,2019-12-13 21:33:54.781000+00:00,1412576000,85.06,IMG,2019-12-13 21:43:26.169000+00:00
ch2_tmc_ncf_20191213T2133547819_d_img_d18.zip,NCF,FORE,2019-12-13 21:33:54.781900+00:00,2019-12-13 21:33:54.781000+00:00,1412568000,85.06,IMG,2019-12-13 21:43:26.166000+00:00
ch2_tmc_ncn_20191213T2133547852_d_img_d18.zip,NCN,NADIR,2019-12-13 21:33:54.785200+00:00,2019-12-13 21:33:54.785000+00:00,1412568000,85.06,IMG,2019-12-13 21:43:26.169000+00:00
ch2_tmc_nca_20191217T0003263102_d_img_d18.zip,NCA,AFT,2019-12-17 00:03:26.310200+00:00,2019-12-17 00:03:26.310000+00:00,1451504000,86.7,IMG,2019-12-17 00:13:13.165000+00:00
ch2_tmc_ncf_20191217T0003263102_d_img_d18.zip,NCF,FORE,2019-12-17 00:03:26.310200+00:00,2019-12-17 00:03:26.310000+00:00,1451496000,86.7,IMG,2019-12-17 00:13:13.162000+00:00
ch2_tmc_ncn_20191217T0003263102_d_img_d18.zip,NCN,NADIR,2019-12-17 00:03:26.310200+00:00,2019-12-17 00:03:26.310000+00:00,1451504000,86.7,IMG,2019-12-17 00:13:13.165000+00:00
ch2_tmc_nca_20191219T1646107526_d_img_d18.zip,NCA,AFT,2019-12-19 16:46:10.752600+00:00,2019-12-19 16:46:10.752000+00:00,1417952000,82.51,IMG,2019-12-19 16:55:44.315000+00:00
ch2_tmc_ncf_20191219T1646107526_d_img_d18.zip,NCF,FORE,2019-12-19 16:46:10.752600+00:00,2019-12-19 16:46:10.752000+00:00,1417960000,82.51,IMG,2019-12-19 16:55:44.318000+00:00
ch2_tmc_ncn_20191219T1646107526_d_img_d18.zip,NCN,NADIR,2019-12-19 16:46:10.752600+00:00,2019-12-19 16:46:10.752000+00:00,1417960000,82.51,IMG,2019-12-19 16:55:44.318000+00:00
ch2_tmc_nca_20191224T0436128888_d_img_d18.zip,NCA,AFT,2019-12-24 04:36:12.888800+00:00,2019-12-24 04:36:12.888000+00:00,1407512000,78.0,IMG,2019-12-24 04:45:42.228000+00:00
ch2_tmc_ncf_20191224T0436128888_d_img_d18.zip,NCF,FORE,2019-12-24 04:36:12.888800+00:00,2019-12-24 04:36:12.888000+00:00,1407512000,78.0,IMG,2019-12-24 04:45:42.228000+00:00
ch2_tmc_ncn_20191224T0436128888_d_img_d18.zip,NCN,NADIR,2019-12-24 04:36:12.888800+00:00,2019-12-24 04:36:12.888000+00:00,1407504000,78.0,IMG,2019-12-24 04:45:42.225000+00:00
ch2_tmc_ncn_20191225T0407322824_d_img_d18.zip,NCN,NADIR,2019-12-25 04:07:32.282400+00:00,2019-12-25 04:07:32.282000+00:00,1412896000,81.59,IMG,2019-12-25 04:17:03.800000+00:00
ch2_tmc_ncf_20191225T0407322824_d_img_d18.zip,NCF,FORE,2019-12-25 04:07:32.282400+00:00,2019-12-25 04:07:32.282000+00:00,1412888000,81.59,IMG,2019-12-25 04:17:03.796000+00:00
ch2_tmc_nca_20191225T0407322824_d_img_d18.zip,NCA,AFT,2019-12-25 04:07:32.282400+00:00,2019-12-25 04:07:32.282000+00:00,1412896000,81.59,IMG,2019-12-25 04:17:03.800000+00:00
ch2_tmc_nca_20191225T2145564403_d_img_d18.zip,NCA,AFT,2019-12-25 21:45:56.440300+00:00,2019-12-25 21:45:56.440000+00:00,1417960000,84.39,IMG,2019-12-25 21:55:30.659000+00:00
ch2_tmc_ncf_20191225T2145564403_d_img_d18.zip,NCF,FORE,2019-12-25 21:45:56.440300+00:00,2019-12-25 21:45:56.440000+00:00,1417952000,84.39,IMG,2019-12-25 21:55:30.334000+00:00
ch2_tmc_ncn_20191225T2145564403_d_img_d18.zip,NCN,NADIR,2019-12-25 21:45:56.440300+00:00,2019-12-25 21:45:56.440000+00:00,1417960000,84.39,IMG,2019-12-25 21:55:30.659000+00:00
ch2_tmc_nca_20191226T0338483816_d_img_d18.zip,NCA,AFT,2019-12-26 03:38:48.381600+00:00,2019-12-26 03:38:48.381000+00:00,1415424000,84.76,IMG,2019-12-26 03:48:20.922000+00:00
ch2_tmc_ncf_20191226T0338483816_d_img_d18.zip,NCF,FORE,2019-12-26 03:38:48.381600+00:00,2019-12-26 03:38:48.381000+00:00,1415432000,84.76,IMG,2019-12-26 03:48:20.925000+00:00
ch2_tmc_ncn_20191226T0338483816_d_img_d18.zip,NCN,NADIR,2019-12-26 03:38:48.381600+00:00,2019-12-26 03:38:48.381000+00:00,1415424000,84.76,IMG,2019-12-26 03:48:20.922000+00:00
ch2_tmc_nca_20191229T0015253876_d_img_d18.zip,NCA,AFT,2019-12-29 00:15:25.387600+00:00,2019-12-29 00:15:25.387000+00:00,1420480000,91.8,IMG,2019-12-29 00:24:59.973000+00:00
ch2_tmc_ncf_20191229T0015253876_d_img_d18.zip,NCF,FORE,2019-12-29 00:15:25.387600+00:00,2019-12-29 00:15:25.387000+00:00,1420488000,91.8,IMG,2019-12-29 00:24:59.976000+00:00
ch2_tmc_ncn_20191229T0015253876_d_img_d18.zip,NCN,NADIR,2019-12-29 00:15:25.387600+00:00,2019-12-29 00:15:25.387000+00:00,1420488000,91.8,IMG,2019-12-29 00:24:59.976000+00:00
ch2_tmc_ncf_20191230T0934252172_d_img_d18.zip,NCF,FORE,2019-12-30 09:34:25.217200+00:00,2019-12-30 09:34:25.217000+00:00,1415104000,88.3,IMG,2019-12-30 09:43:57.628000+00:00
ch2_tmc_ncn_20191230T0934252172_d_img_d18.zip,NCN,NADIR,2019-12-30 09:34:25.217200+00:00,2019-12-30 09:34:25.217000+00:00,1415104000,88.3,IMG,2019-12-30 09:43:57.628000+00:00
ch2_tmc_nca_20191230T0934252172_d_img_d18.zip,NCA,AFT,2019-12-30 09:34:25.217200+00:00,2019-12-30 09:34:25.217000+00:00,1415104000,88.3,IMG,2019-12-30 09:43:57.628000+00:00
ch2_tmc_nca_20200101T0442246060_d_img_d18.zip,NCA,AFT,2020-01-01 04:42:24.606000+00:00,2020-01-01 04:42:24.606000+00:00,1417640000,85.0,IMG,2020-01-01 04:51:58.428000+00:00
