observation_time_utc,archive_start_time_utc,archive_end_time_utc,camera_count,cameras,product_codes,has_nadir,has_aft,has_fore,complete_three_camera,product_count,filenames,target_sensor,target_time_utc,time_difference_hours
2026-02-21 07:23:33+00:00,2026-02-21 07:23:32.523000+00:00,2026-02-21 07:27:17.964000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260221T0723325270_d_img_d18.zip | ch2_tmc_ncf_20260221T0723325237_d_img_d18.zip | ch2_tmc_ncn_20260221T0723325237_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,915.6973691111111
2026-02-20 19:35:15+00:00,2026-02-20 19:35:14.983000+00:00,2026-02-20 19:47:09.169000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260220T1935149832_d_img_d18.zip | ch2_tmc_ncf_20260220T1935149832_d_img_d18.zip | ch2_tmc_ncn_20260220T1935149832_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,927.5023691111111
2026-02-20 09:45:58+00:00,2026-02-20 09:45:57.511000+00:00,2026-02-20 09:58:58.939000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260220T0945575112_d_img_d18.zip | ch2_tmc_ncf_20260220T0945575112_d_img_d18.zip | ch2_tmc_ncn_20260220T0945575112_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,937.323758
2026-02-20 05:50:16+00:00,2026-02-20 05:50:16.192000+00:00,2026-02-20 06:02:26.840000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260220T0550161924_d_img_d18.zip | ch2_tmc_ncf_20260220T0550161924_d_img_d18.zip | ch2_tmc_ncn_20260220T0550161924_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,941.2520913333333
2026-02-19 20:02:06+00:00,2026-02-19 20:02:06.163000+00:00,2026-02-19 20:15:15.791000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260219T2002061633_d_img_d18.zip | ch2_tmc_ncf_20260219T2002061633_d_img_d18.zip | ch2_tmc_ncn_20260219T2002061633_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,951.0548691111111
2026-02-19 12:10:45+00:00,2026-02-19 12:10:45.123000+00:00,2026-02-19 12:23:52.702000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260219T1210451233_d_img_d18.zip | ch2_tmc_ncf_20260219T1210451233_d_img_d18.zip | ch2_tmc_ncn_20260219T1210451233_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,958.9107024444444
2026-02-19 06:17:57+00:00,2026-02-19 06:17:56.810000+00:00,2026-02-19 06:28:27.345000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260219T0617568103_d_img_d18.zip | ch2_tmc_ncf_20260219T0617568103_d_img_d18.zip | ch2_tmc_ncn_20260219T0617568103_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,964.7907024444445
2026-02-18 18:38:12+00:00,2026-02-18 18:38:11.862000+00:00,2026-02-18 18:44:11.323000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260218T1838118627_d_img_d18.zip | ch2_tmc_ncf_20260218T1838118627_d_img_d18.zip | ch2_tmc_ncn_20260218T1838118627_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,976.4532024444444
2026-02-18 10:38:41+00:00,2026-02-18 10:38:40.604000+00:00,2026-02-18 10:51:51.258000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260218T1038406044_d_img_d18.zip | ch2_tmc_ncf_20260218T1038406044_d_img_d18.zip | ch2_tmc_ncn_20260218T1038406044_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,984.4451468888889
2026-02-18 08:40:49+00:00,2026-02-18 08:40:48.833000+00:00,2026-02-18 08:53:59.402000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260218T0840488331_d_img_d18.zip | ch2_tmc_ncf_20260218T0840488331_d_img_d18.zip | ch2_tmc_ncn_20260218T0840488331_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,986.4095913333333
2026-02-18 04:45:07+00:00,2026-02-18 04:45:07.408000+00:00,2026-02-18 04:57:49.329000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260218T0445074089_d_img_d18.zip | ch2_tmc_ncf_20260218T0445074122_d_img_d18.zip | ch2_tmc_ncn_20260218T0445074089_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,990.3379246666667
2026-02-17 11:04:00+00:00,2026-02-17 11:03:59.793000+00:00,2026-02-17 11:16:54.425000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260217T1103597930_d_img_d18.zip | ch2_tmc_ncf_20260217T1103597930_d_img_d18.zip | ch2_tmc_ncn_20260217T1103597930_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,1008.0232024444445
