test_anchor_id,scenarios_evaluated,IIRS_TMC2_recall_at_1,OHRC_TMC2_recall_at_1,IIRS_OHRC_recall_at_1,IIRS_TMC2_median_rank,OHRC_TMC2_median_rank,IIRS_OHRC_median_rank,IIRS_TMC2_mean_cosine,OHRC_TMC2_mean_cosine,IIRS_OHRC_mean_cosine,IIRS_TMC2_top1_scenario_count,OHRC_TMC2_top1_scenario_count,IIRS_OHRC_top1_scenario_count,overall_mean_recall_at_1
376,34,0.029411764705882353,0.029411764705882353,0.14705882352941177,19.0,19.5,12.5,0.7092991394593435,0.6811163464889807,0.6943227539167685,1,1,5,0.06862745098039215
377,34,0.029411764705882353,0.0,0.14705882352941177,20.0,20.0,11.5,0.6902142311720287,0.6964380986550275,0.6712107294622589,1,0,5,0.05882352941176471
378,34,0.0,0.0,0.17647058823529413,16.5,20.5,11.0,0.6966923685634837,0.6870799143524731,0.6624372732989928,0,0,6,0.05882352941176471
379,34,0.029411764705882353,0.029411764705882353,0.29411764705882354,16.0,25.5,8.5,0.5894690077094471,0.572165904676213,0.5821775804985972,1,1,10,0.11764705882352942
380,34,0.029411764705882353,0.029411764705882353,0.14705882352941177,16.5,15.0,13.5,0.7379136909456814,0.7381913959980011,0.7132911327130654,1,1,5,0.06862745098039215
381,34,0.0,0.0,0.11764705882352941,22.5,23.5,14.0,0.5984716682749636,0.5321895567809835,0.5842565403265112,0,0,4,0.0392156862745098
382,34,0.0,0.0,0.14705882352941177,16.0,16.5,12.5,0.6548762426656836,0.6646000637727625,0.6607950268422856,0,0,5,0.049019607843137254
383,34,0.029411764705882353,0.029411764705882353,0.20588235294117646,19.0,24.5,8.5,0.6529630291111329,0.6824097357252065,0.6782416591749472,1,1,7,0.08823529411764706
384,34,0.0,0.0,0.2647058823529412,23.0,17.5,7.0,0.5523273914175875,0.6018896953148001,0.5988548897645053,0,0,9,0.08823529411764706
385,34,0.0,0.0,0.11764705882352941,17.5,19.0,9.5,0.5862394431058098,0.5927414258613306,0.6378007051261032,0,0,4,0.0392156862745098
386,34,0.0,0.0,0.14705882352941177,24.0,14.0,10.0,0.6151631071287043,0.572717068826451,0.6222606228993219,0,0,5,0.049019607843137254
387,34,0.029411764705882353,0.029411764705882353,0.11764705882352941,19.5,19.5,12.5,0.7055947403697407,0.6618736134294201,0.6883021163589814,1,1,4,0.0588235294117647
388,34,0.0,0.0,0.17647058823529413,21.5,17.5,12.0,0.7298766409649569,0.7565873729832032,0.7287925626425182,0,0,6,0.05882352941176471
389,34,0.0,0.0,0.17647058823529413,18.0,20.0,13.0,0.6193753967390341,0.646132263190606,0.6497842222452164,0,0,6,0.05882352941176471
390,34,0.058823529411764705,0.0,0.14705882352941177,16.0,23.0,9.0,0.7703575106228099,0.7547895838232601,0.737029348664424,2,0,5,0.06862745098039215
391,34,0.029411764705882353,0.029411764705882353,0.14705882352941177,16.5,19.0,10.0,0.7410109008059782,0.7421326387454482,0.7468784337534624,1,1,5,0.06862745098039215
392,34,0.058823529411764705,0.0,0.08823529411764706,19.0,15.0,14.0,0.6434167453690487,0.6786411961211878,0.6866405199774924,2,0,3,0.049019607843137254
393,34,0.058823529411764705,0.0,0.11764705882352941,19.5,18.5,11.5,0.6168506136711907,0.5368095031555962,0.6020863770562059,2,0,4,0.0588235294117647
394,34,0.0,0.0,0.20588235294117646,15.0,23.0,9.0,0.6744071210131926,0.7177061009056428,0.7081886976957321,0,0,7,0.06862745098039215
395,34,0.0,0.0,0.08823529411764706,18.0,19.5,13.5,0.6117148206514471,0.6131613947012845,0.641032657421687,0,0,3,0.029411764705882356
396,34,0.029411764705882353,0.058823529411764705,0.14705882352941177,16.5,16.0,14.5,0.6768550548483344,0.638865660656901,0.6748353536514675,1,2,5,0.0784313725490196
397,34,0.0,0.0,0.20588235294117646,23.0,23.5,6.5,0.5238953184555558,0.529279567191706,0.5692418812609771,0,0,7,0.06862745098039215
398,34,0.0,0.0,0.14705882352941177,21.5,18.5,10.5,0.5842270029380041,0.669811330297414,0.6185791572172414,0,0,5,0.049019607843137254
399,34,0.029411764705882353,0.0,0.14705882352941177,20.0,19.5,11.5,0.5789195833837285,0.634914335082559,0.6120135104557609,1,0,5,0.05882352941176471
